ID,BackgroundFile,ClassID,MasterySpellID[0],MasterySpellID[1],OrderIndex,PetTalentType,Role,SpellIconID,RaidBuffs,Name_lang,Description_lang,MaxBuffs,Role
62,bg-mage-arcane,8,76547,0,0,0,2,125,80,Arcane,"Manipulate the arcane, destroying enemies with overwhelming power.",0,"DPS"
65,bg-paladin-holy,2,76669,0,0,0,1,70,129,Holy,Invokes the power of the Light to protect and to heal.,1,"Healer"
71,bg-warrior-arms,1,76838,0,0,0,2,564,6,Arms,"A battle-hardened master of two-handed weapons, using mobility and overpowering attacks to strike $Ghis:her; opponents down.",1,"DPS"
102,bg-druid-balance,11,77492,0,0,0,2,225,33,Balance,"Can take on the form of a powerful Moonkin, balancing the power of Arcane and Nature magic to destroy enemies at a distance.",0,"DPS"
253,bg-hunter-beastmaster,3,76657,0,0,0,2,5095,4,Beast Mastery,A master of the wild who can tame a wide variety of beasts to assist $Ghim:her; in combat.,0,"DPS"
256,bg-priest-discipline,5,77484,0,0,0,1,566,2,Discipline,Uses magic to shield allies from taking damage as well as heal their wounds.,0,"Healer"
259,bg-rogue-assassination,4,76803,0,0,0,2,514,8,Assassination,A deadly master of poisons who dispatches victims with vicious dagger strikes.,0,"DPS"
262,bg-shaman-elemental,7,77222,0,0,0,2,62,176,Elemental,A spellcaster who harnesses the destructive forces of nature and the elements.,0,"DPS"
265,bg-warlock-affliction,9,77215,0,0,0,2,88,18,Affliction,A master of shadow magic who specializes in drains and damage-over-time spells.,0,"DPS"
63,bg-mage-fire,8,12846,0,1,0,2,183,80,Fire,Ignite enemies with balls of fire and combustive flames.,0,"DPS"
66,bg-paladin-protection,2,76671,0,1,0,0,3016,129,Protection,Uses Holy magic to shield $Ghimself:herself; and defend allies from attackers.,1,"Tank"
72,bg-warrior-fury,1,76856,0,1,0,2,561,6,Fury,"A furious berserker wielding a weapon in each hand, unleashing a flurry of attacks to carve $Ghis:her; opponents to pieces.",1,"DPS"
103,bg-druid-cat,11,77493,0,1,0,2,493,65,Feral,Takes on the form of a great cat to deal damage with bleeds and bites.,0,"DPS"
254,bg-hunter-marksman,3,76659,0,1,0,2,3411,4,Marksmanship,A master archer or sharpshooter who excels in bringing down enemies from afar.,0,"DPS"
257,bg-priest-holy,5,77485,0,1,0,1,2873,2,Holy,A versatile healer who can reverse damage on individuals or groups and even heal from beyond the grave.,0,"Healer"
260,bg-rogue-combat,4,76806,0,1,0,2,243,8,Combat,A swashbuckler who uses agility and guile to stand toe-to-toe with enemies.,0,"DPS"
263,bg-shaman-enhancement,7,77223,0,1,0,2,3159,152,Enhancement,A totemic warrior who strikes foes with weapons imbued with elemental power.,0,"DPS"
266,bg-warlock-demonology,9,77219,0,1,0,2,90,18,Demonology,A master of demonic magic who transforms into a demon and compels demonic powers to aid him.,0,"DPS"
64,bg-mage-frost,8,76613,0,2,0,2,188,80,Frost,Freezes enemies in their tracks and shatters them with Frost magic.,0,"DPS"
70,bg-paladin-retribution,2,76672,0,2,0,2,555,129,Retribution,A righteous crusader who judges and punishes opponents with weapons and Holy magic.,1,"DPS"
73,bg-warrior-protection,1,76857,0,2,0,0,276,6,Protection,A stalwart protector who uses a shield to safeguard $Ghimself:herself; and $Ghis:her; allies.,1,"Tank"
104,bg-druid-bear,11,77494,0,2,0,0,107,1,Guardian,Takes on the form of a mighty bear to absorb damage and protect allies.,0,"Tank"
255,bg-hunter-survival,3,76658,0,2,0,2,5126,4,Survival,"A rugged tracker who favors using animal venom, explosives and traps as deadly weapons.",0,"DPS"
258,bg-priest-shadow,5,77486,0,2,0,2,234,33,Shadow,"Uses sinister Shadow magic, especially damage-over-time spells, to eradicate enemies.",0,"DPS"
261,bg-rogue-subtlety,4,76808,0,2,0,2,250,8,Subtlety,A dark stalker who leaps from the shadows to ambush $Ghis:her; unsuspecting prey.,0,"DPS"
264,bg-shaman-restoration,7,77226,0,2,0,1,13,144,Restoration,A healer who calls upon ancestral spirits and the cleansing power of water to mend allies' wounds.,0,"Healer"
267,bg-warlock-destruction,9,77220,0,2,0,2,547,18,Destruction,A master of chaos who calls down fire to burn and demolish enemies.,0,"DPS"
105,bg-druid-restoration,11,77495,0,3,0,1,962,1,Restoration,Uses heal-over-time Nature spells to keep allies alive.,0,"Healer"
